particle-diameter,concentration
0.009828600647724107,0.000008833190500280835
0.012341794011106353,0.00016092131608206705
0.015938848153953706,0.0013408142218701647
0.020131730068351318,0.008936804998070508
0.02486856867063507,0.04764908851198181
0.031772084199202175,0.1039070070132973
0.04036644261681742,0.22659929651935087
0.05158146496884092,0.2527801192547085
0.0644574696701588,0.3153834166967501
0.08100262042382499,0.3146849809151906
0.10065734258414755,0.43904909442937917
0.13151434588708238,0.6122641079945046
0.16527187143231703,0.6109082118435083
0.21120844495635907,0.4874245278469191
0.2668812706346081,0.6799453344605166
0.3372593930083915,0.6784028694503642
0.42618382693882195,0.7568660083440073
0.529642097381072,0.7552715585322632
0.6843778969313132,0.842442988505601
0.8649562050901323,0.5376301440032387
1.074993265721985,0.42907424489008694
1.373700273451737,0.42805458888528103
1.7460207878135878,0.1953735751198538
2.219186433529901,0.09971262212932044
2.7893170649965437,0.05089573822152687
3.5453189268497756,0.023229939808842484
4.45627979395675,0.010603804660210575
5.538896061737128,0.006052817983054162
7.118176268307716,0.004318648923090485
9.096641355393736,0.0034457147104338002
11.178593944100665,0.0028079877750795575
46.60432437111034,0.0002599736865887373
36.45720885426543,0.0005911009393841998
29.0045595311193,0.0009377199049664693
23.076780867112333,0.0011173289329955217
18.056634145705925,0.0017509950639035086
14.447042109021671,0.002434361898089933
59.56673328732962,0.00014685003137336884
74.89250281944855,0.000005792906928814507
94.67052111269427,0.0000018911838953240296
118.35949230247374,3.949547590594968e-7
149.65247011292348,5.275254136276559e-8
191.3224040890613,9.850207853174383e-9
240.55447306670743,1.471236737424264e-9
307.58178272164645,1.5714346857570525e-10
386.82326826256815,9.602677122412679e-12
486.43568842802466,8.204294824678094e-13
629.0208965027974,5.6045077961334495e-14
791.0738953316409,3.4247862341403484e-15
1000.4657420047722,1.871493530212714e-16
